customer_id,company_name,industry,country,city,segment,contract_type
46,"Bray, Holland and Chan",Manufacturing,Morocco,London,Startup,Spot
47,Bass-Charles,Retail,France,London,Enterprise,Monthly
48,"Hoffman, Adams and Campbell",Retail,Kenya,Paris,SME,Spot
49,Robinson-White,Electronics,France,Nairobi,Enterprise,Spot
50,Serrano Inc,Food & Beverage,Spain,Istanbul,Enterprise,Monthly
51,"Leon, Ortiz and Evans",Electronics,France,London,Enterprise,Spot
52,"Sullivan, Fritz and Gutierrez",Electronics,Egypt,Amsterdam,SME,Monthly
53,Bridges LLC,Automotive,Morocco,London,Enterprise,Monthly
54,"Spence, Jackson and Knight",Automotive,Egypt,London,Enterprise,Annual
55,"Chaney, Cox and Anderson",Manufacturing,Kenya,Istanbul,Enterprise,Monthly
56,Gillespie-Johnson,Manufacturing,Nigeria,Istanbul,Enterprise,Annual
57,Yu-Nguyen,Electronics,Kenya,London,Enterprise,Spot
58,Vasquez PLC,Food & Beverage,Morocco,London,Enterprise,Annual
59,Sutton-Nash,Electronics,Turkey,Istanbul,Enterprise,Monthly
60,"Jones, Brandt and Hughes",Retail,UAE,Amsterdam,Enterprise,Monthly
61,Price-Houston,Pharma,Turkey,Lagos,SME,Spot
62,Reed-Vaughan,Automotive,Kenya,Istanbul,Enterprise,Annual
63,Jones Inc,Pharma,France,Casablanca,Startup,Spot
64,Thomas and Sons,Food & Beverage,Morocco,Cairo,Enterprise,Annual
65,Mcgee-Phillips,Food & Beverage,Turkey,Nairobi,Startup,Annual
66,Deleon-Miller,Retail,Kenya,London,Enterprise,Annual
67,"Smith, Alexander and Olsen",Food & Beverage,UK,Paris,SME,Annual
68,"Williams, Wong and Parker",Food & Beverage,France,Barcelona,Startup,Annual
69,"Calderon, Garcia and Mora",Food & Beverage,UK,Amsterdam,Startup,Spot
70,Cooper-Huffman,Food & Beverage,Kenya,Cairo,SME,Annual
71,Kline-Simpson,Automotive,Egypt,Paris,SME,Monthly
72,"Hanson, May and Walter",Manufacturing,Nigeria,Istanbul,SME,Annual
73,Shelton Ltd,Retail,Turkey,Barcelona,Startup,Annual
74,Williams Group,Retail,Kenya,Paris,Startup,Monthly
75,Austin-Mcintosh,Manufacturing,Egypt,London,Enterprise,Monthly
76,Harrington LLC,Pharma,UAE,Istanbul,Startup,Spot
77,Chavez Ltd,Pharma,Spain,Nairobi,Enterprise,Spot
78,Watts-Wilson,Food & Beverage,Nigeria,London,Enterprise,Monthly
79,Shannon-Miller,Retail,UK,Nairobi,Enterprise,Monthly
80,"Guerra, Lindsey and Rivers",Pharma,Spain,Paris,Startup,Monthly
81,"Blackwell, Sosa and Morris",Manufacturing,Nigeria,Nairobi,SME,Monthly
82,"Frey, Gutierrez and Miller",Retail,UK,Amsterdam,SME,Annual
83,Rivera-Garcia,Retail,Egypt,Dubai,Startup,Monthly
84,Obrien-Farmer,Manufacturing,Turkey,Nairobi,Startup,Monthly
85,Houston PLC,Food & Beverage,Morocco,London,Enterprise,Spot
86,Luna LLC,Manufacturing,Kenya,Casablanca,SME,Spot
87,Payne-Anthony,Food & Beverage,UAE,Amsterdam,Enterprise,Annual
88,Williams Inc,Pharma,Egypt,Casablanca,SME,Annual
89,Castaneda LLC,Automotive,France,London,SME,Spot
90,Neal-Clark,Electronics,Spain,Dubai,Enterprise,Annual
91,Hardin Group,Manufacturing,NL,Casablanca,Enterprise,Spot
92,"Johnson, Lee and Reynolds",Pharma,NL,Paris,SME,Annual
93,"Patterson, Smith and Rodriguez",Automotive,UK,Amsterdam,Enterprise,Monthly
94,Robinson-Odonnell,Manufacturing,France,Istanbul,SME,Monthly
95,Sampson-Fuller,Manufacturing,France,Casablanca,Startup,Annual
96,"Scott, Price and Patel",Electronics,Egypt,Lagos,Enterprise,Monthly
97,Brown and Sons,Pharma,Kenya,Amsterdam,Startup,Spot
98,Johnson-Mcpherson,Pharma,Morocco,London,SME,Annual
99,"Smith, Perry and Anderson",Food & Beverage,Nigeria,Casablanca,Enterprise,Spot
100,Richard and Sons,Electronics,Egypt,Cairo,SME,Spot
